,Núm. de orden,Unidad,Cliente,Fecha inicio,Fecha final,Ruta,Costo presupuestado (Global Maps),Costo calculado
0,1334395,1780,GNV,2024-01-02T03:45:00.000,2024-01-02T11:06:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,796
1,1334843,1713,GNV,2024-01-02T10:15:00.000,2024-01-02T18:20:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1444
2,1335142,1780,GNV,2024-01-03T17:16:00.000,2024-01-03T20:05:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,1128
3,1335143,1713,GNV,2024-01-03T17:15:00.000,2024-01-04T01:20:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1444
4,1335158,1778,GNVMTY01,2024-01-02T12:45:00.000,2024-01-02T13:15:00.000,Monterrey-Juarez,392,489
5,1335500,1713,GNV,2024-01-04T11:25:00.000,2024-01-04T21:02:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
6,1335525,1780,GNV,2024-01-05T01:00:00.000,2024-01-05T10:21:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,3461
7,1335536,1780,GNV,2024-01-05T21:00:00.000,2024-01-06T06:21:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,1128
8,1335616,1713,GNV,2024-01-05T21:29:00.000,2024-01-06T05:34:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
9,1335963,1713,GNV,2024-01-07T00:15:00.000,2024-01-07T01:00:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,812
10,1336294,1713,GNV,2024-01-12T14:00:00.000,2024-01-12T22:30:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1100
11,1336378,1713,GNV,2024-01-08T18:15:00.000,2024-01-09T03:36:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,541
12,1336379,1780,GNV,2024-01-08T21:00:00.000,2024-01-09T05:05:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1721
13,1337040,1713,GNV,2024-01-10T14:16:00.000,2024-01-10T18:47:00.000,San Miguel Xoxtla-Iztapalapa R,1128,2612
14,1337285,1780,GNV,2024-01-13T14:00:00.000,2024-01-13T16:37:00.000,Zapotlanejo-Tonala R,204,204
15,1337332,1780,GNV,2024-01-11T15:09:00.000,2024-01-11T18:04:00.000,Zapotlanejo-Tonala R,204,204
16,1337447,1780,GNV,2024-01-11T05:00:00.000,2024-01-11T14:00:00.000,Cuautitlan Izcalli-Zapotlanejo ,4314,2930
17,1337447,1780,GNV,2024-01-11T05:00:00.000,2024-01-11T14:00:00.000,Cuautitlan Izcalli-Zapotlanejo  R,3444,2930
18,1338419,1713,GNV,2024-01-16T00:00:00.000,2024-01-16T08:05:00.000,San Miguel Xoxtla-Iztapalapa R,1128,2533
19,1338429,1713,GNV,2024-01-14T14:00:00.000,2024-01-14T14:20:00.000,San Miguel Xoxtla-Iztapalapa R,1128,169
20,1339321,1713,GNV,2024-01-23T02:50:00.000,2024-01-23T10:55:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1721
21,1340298,1713,GNV,2024-01-21T23:00:00.000,2024-01-22T23:34:00.000,San Miguel Xoxtla-Iztapalapa R,1128,3661
22,1341543,1713,GNV,2024-01-25T12:00:00.000,2024-01-25T21:37:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
23,1341757,1713,GNV,2024-01-26T01:15:00.000,2024-01-26T09:20:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
24,1341968,1713,GNV,2024-01-27T16:15:00.000,2024-01-27T18:50:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
25,1341969,1780,GNV,2024-01-26T20:15:00.000,2024-01-27T07:29:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,2256
26,1342364,1780,GNV,2024-01-29T14:05:00.000,2024-01-29T23:26:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,1518
27,1342632,1713,GNV,2024-01-29T11:00:00.000,2024-01-29T11:35:00.000,San Miguel Xoxtla-Iztapalapa R,1128,316
28,1342857,1713,GNV,2024-01-30T11:00:00.000,2024-01-30T17:00:00.000,San Miguel Xoxtla-Iztapalapa R,1128,1128
29,1342935,1780,GNV,2024-01-30T16:00:00.000,2024-01-30T16:45:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,316
30,1335294,1710,GNV,2024-01-04T10:00:00.000,2024-01-04T13:37:00.000,Zapotlanejo-Tonala R,204,204
31,1336135,1710,GNV,2024-01-07T16:00:00.000,2024-01-07T19:37:00.000,Zapotlanejo-Tonala R,204,204
32,1336777,1710,GNV,2024-01-09T05:00:00.000,2024-01-09T08:37:00.000,Zapotlanejo-Tonala R,204,204
33,1338418,1711,GNV,2024-01-16T14:15:00.000,2024-01-16T23:36:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,1128
34,1338816,1711,GNV,2024-01-17T19:00:00.000,2024-01-17T21:34:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,812
35,1340081,1710,GNV,2024-01-20T10:00:00.000,2024-01-20T13:37:00.000,Zapotlanejo-Tonala R,204,204
36,1341114,1710,GNV,2024-01-23T07:00:00.000,2024-01-23T10:37:00.000,Zapotlanejo-Tonala R,204,204
37,1341672,1711,GNV,2024-01-25T16:00:00.000,2024-01-26T03:14:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,2165
38,1341753,1710,GNV,2024-01-25T10:00:00.000,2024-01-25T13:37:00.000,Zapotlanejo-Tonala R,204,204
39,1343145,1711,GNV,2024-01-31T11:00:00.000,2024-01-31T20:21:00.000,San Miguel Xoxtla-Gustavo A. Madero R,1128,1128
40,1343204,1710,GNV,2024-01-31T10:30:00.000,2024-01-31T14:07:00.000,Zapotlanejo-Tonala R,204,204
